project_id,project_title,geography,short_summary,closing_date,total_project_cost_1,status,team_leader,region,environmental_and_social_risk,esco_id,occupation_esco,esco_description,industry_cat_code,industry_cat_label,industry_division_code,industry_division_label,onet_job_zone,onet_job_zone_label,onet_job_zone_est,pad_job_titles,pad_activities,pad_skills,pad_quotes
P160708,Western Africa - Regional Off-Grid Electrification Project,West Africa and the Sahel (19 Countries),"This regional project scales modern stand-alone solar systems and increases household and business electricity access by addressing policy and trade barriers, setting quality standards, building local entrepreneurship, and providing patient finance.","December 31, 2030",US$ 333.70 million,Active,"Elisa Portale , Raihan Elahi, Madina Tall", Western and Central Africa,Not Applicable,0561328b-875b-4ae2-9ba1-9af9049aef01,procurement category specialist,"Procurement category specialists are experts in specific markets and contract types and provide advanced knowledge of a particular category of supplies, services or works. They help internal or external clients to increase value for money and end users' satisfaction through their advanced knowledge of the suppliers and their offering.",N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",70.0,70 Activities of head offices and management consultancy,2.0,2: Some Preparation Needed,minimum,"""procurement specialist""","""Manage procurement processes for project subcomponents in accordance with World Bank procurement regulations and support selection of eligible solar entrepreneurs.""","""public procurement regulations"", ""tender preparation and evaluation"", ""contract management"", ""procurement planning"", ""eligibility assessment""","IV. PROJECT APPRAISAL SUMMARY: ""Procurement under Subcomponents 1A, 1B, 1C, and 1D will be carried out in accordance with the World Bank procedures: the World Bank Procurement Regulations for IPF Borrowers (July 2016, revised in November 2017 and August 2018); 'Guidelines on Preventing and Combating Fraud and Corruption in Projects Financed by IBRD Loans and IDA Credits and Grants', dated October 15, 2006, and revised in January  2011  and  July  2016;  and  other  provisions  stipulated  in  the  Financing  Agreements.  Solar entrepreneurs will be selected following a set of eligibility criteria stated in the POM to benefit from Subcomponents 1C and 1D."""
P160708,Western Africa - Regional Off-Grid Electrification Project,West Africa and the Sahel (19 Countries),"This regional project scales modern stand-alone solar systems and increases household and business electricity access by addressing policy and trade barriers, setting quality standards, building local entrepreneurship, and providing patient finance.","December 31, 2030",US$ 333.70 million,Active,"Elisa Portale , Raihan Elahi, Madina Tall", Western and Central Africa,Not Applicable,075e4d25-74b3-46fb-9b6e-6b53cdb196e7,credit analyst,"Credit analysts investigate credit applications from customers and evaluate if the applications comply with regulations and guidelines of the financial loan-granting institution. On the basis of credit analyses they advise financial institutions whether customers are loan worthy. They perform tasks such as collecting data on the loan applicant, aquire additional information from other departments or institutions and indicating what sort of agreements the financial institution should reach with the credit applicant. Credit analysts also follow up on the development of the credit portfolio of clients.",L,L FINANCIAL AND INSURANCE ACTIVITIES,64.0,"64 Financial service activities, except insurance and pension funding",2.0,2: Some Preparation Needed,minimum,"""credit analyst""","""Assess and identify commercial financial institutions for on-lending based on eligibility and performance criteria.""","""financial analysis"", ""credit risk assessment"", ""due diligence"", ""loan portfolio evaluation""","II. PROJECT DESCRIPTION: ""BOAD will identify CFIs based on eligibility criteria set out in the POM, which will include the performance level of the CFIs, such as their level of profitability, non-performing loans, etc."""
P160708,Western Africa - Regional Off-Grid Electrification Project,West Africa and the Sahel (19 Countries),"This regional project scales modern stand-alone solar systems and increases household and business electricity access by addressing policy and trade barriers, setting quality standards, building local entrepreneurship, and providing patient finance.","December 31, 2030",US$ 333.70 million,Active,"Elisa Portale , Raihan Elahi, Madina Tall", Western and Central Africa,Not Applicable,0ba06640-e0ac-4911-9e43-289a8e41651e,corporate trainer,"Corporate trainers train, coach, and guide employees of a company to teach and improve their skills, competences and knowledge in accordance with the needs of the company. They develop the existing potential of the employees to increase their efficiency, motivation, job satisfaction, and employability.",Q,Q EDUCATION,85.0,85 Education,4.0,4: Considerable Preparation Needed,minimum,"""financial sector training specialist"", ""trainer"", ""training specialist""","""Provide capacity building to commercial financial institutions and other financial institutions to understand the technology and to develop suitable financial products."", ""Design and deliver training and knowledge exchange programs as part of the enabling environment subcomponent."", ""Organize and lead project launch workshops in each country to inform political leaders and stakeholders of the project's benefits and potential."", ""Deliver regular entrepreneurship and technical trainings to entrepreneurs and businesses in each country.""","""training curriculum design"", ""financial product design"", ""technical system understanding"", ""stakeholder facilitation"", ""curriculum development"", ""adult learning methods"", ""technical solar knowledge"", ""training delivery"", ""workshop facilitation"", ""stakeholder engagement"", ""public presentation skills"", ""training materials development"", ""multistakeholder coordination"", ""curriculum delivery"", ""solar technology knowledge"", ""adult learning techniques"", ""training of trainers"", ""participant outreach""","ANNEX 13: CURRENT PRIVATE SECTOR PARTICIPATION OF STAND-ALONE SOLAR BUSINESSES IN WEST AFRICA - MARKET TRENDS AND FINANCING: ""On the supply side, some investments are also required to educate CFIs and other FIs on this relatively new sector. Some capacity would also need to be built for FIs to understand the technology and to partner with other investors such as development partners to develop suitable financial products."", II. PROJECT DESCRIPTION: ""This subcomponent will finance (a) policy and analytical work to influence energy access policy in the region, especially in addressing trade barriers, promoting quality and standards for off-grid products, promoting mobile money, and addressing other barriers; (b) the establishment of a network of support centers to promote entrepreneurship development in the off-grid space; (c) training and knowledge exchange programs; (d) promotional campaigns and consumer awareness programs to promote solar standalone-alone systems; (e) capacity building of banks and financial institutions; (f) development of new business models for promoting

standalone-alone solar systems for electrification of public institutions (schools, health clinics, and so on) and for productive use applications (such as water pumping, irrigation); and (g) the establishment and operation of a Project Implementation Unit (PIU) at ECREEE."", V. KEY RISKS: ""Project launch workshops will be organized in each country to inform political leaders and interested stakeholders of the benefit and potential of the project."", ANNEX 2: DETAILED PROJECT DESCRIPTION: ""Each training partner will deliver trainings on a regular (for example, semiannual) basis over two to three days and will be open to the broad community of entrepreneurs and businesses in each country that are interested in the trainings."""
P160708,Western Africa - Regional Off-Grid Electrification Project,West Africa and the Sahel (19 Countries),"This regional project scales modern stand-alone solar systems and increases household and business electricity access by addressing policy and trade barriers, setting quality standards, building local entrepreneurship, and providing patient finance.","December 31, 2030",US$ 333.70 million,Active,"Elisa Portale , Raihan Elahi, Madina Tall", Western and Central Africa,Not Applicable,0deaceea-69d8-4304-bc80-0b3d0491a241,field survey manager,Field survey managers organise and supervise investigations and surveys on the request of a sponsor. They monitor their implementation according to production requirements and lead a team of field investigators.,N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",73.0,"73 Activities of advertising, market research and public relations",5.0,5: Extensive Preparation Needed,unique,"""survey coordinator""","""Define sampling frames, select locations and clusters, and coordinate field sampling of households and enterprises across selected towns and villages.""","""sampling frame development"", ""cluster definition"", ""site selection and logistics"", ""field team coordination"", ""survey protocol implementation""","ANNEX 8: IMPACT EVALUATION: ""Households and enterprises will be sampled from approximately 400 locations (town and villages) that are currently not covered by the national grid. Locations will be selected based on criteria that ensure a good mix in terms of proximity to economic centers and within-location variation of economic activity."""
P160708,Western Africa - Regional Off-Grid Electrification Project,West Africa and the Sahel (19 Countries),"This regional project scales modern stand-alone solar systems and increases household and business electricity access by addressing policy and trade barriers, setting quality standards, building local entrepreneurship, and providing patient finance.","December 31, 2030",US$ 333.70 million,Active,"Elisa Portale , Raihan Elahi, Madina Tall", Western and Central Africa,Not Applicable,109e0a5d-203d-4af6-8f70-692111335ec3,quality services manager,Quality services managers manage the quality of services in business organisations. They ensure the quality of in-house company operations such as customer requirements and service quality standards. Quality services managers monitor the company's performance and implement changes where necessary.,N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",70.0,70 Activities of head offices and management consultancy,4.0,4: Considerable Preparation Needed,unique,"""quality assurance specialist""","""Support adoption and implementation of a regional quality assurance framework prepared by the regional implementing agency for use by participating countries.""","""quality assurance frameworks"", ""standards development"", ""technical inspection"", ""compliance monitoring"", ""stakeholder coordination""","VI. RESULTS FRAMEWORK AND MONITORING: ""ECREEE has prepared a  quality assurance  framework to be adopted by  ECOWAS for  implementation by all  project countries."""
P160708,Western Africa - Regional Off-Grid Electrification Project,West Africa and the Sahel (19 Countries),"This regional project scales modern stand-alone solar systems and increases household and business electricity access by addressing policy and trade barriers, setting quality standards, building local entrepreneurship, and providing patient finance.","December 31, 2030",US$ 333.70 million,Active,"Elisa Portale , Raihan Elahi, Madina Tall", Western and Central Africa,Not Applicable,114e1eff-215e-47df-8e10-45a5b72f8197,renewable energy consultant,"Renewable energy consultants advise clients on the advantages and disadvantages of different renewable energy sources. They conduct surveys and interviews to research demand of and opinions on renewable energy, and strive to advise clients on the most advantageous source of renewable energy for their purpose.",N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",74.0,"74 Other professional, scientific and technical activities",3.0,3: Medium Preparation Needed,minimum,"""capacity building specialist"", ""technical assistance specialist""","""Deliver regional capacity-building interventions to develop the stand-alone solar market across project countries."", ""Design and deliver technical assistance to support development and scaling of local solar entrepreneurs in challenging markets.""","""training design"", ""adult learning delivery"", ""solar technology knowledge"", ""monitoring and evaluation"", ""stakeholder coordination"", ""capacity building design"", ""training delivery"", ""technical advisory in solar"", ""market development support"", ""monitoring and evaluation""","I. STRATEGIC CONTEXT: ""The regional implementing agencies will be ECREEE and the West African Development Bank (BOAD). ECREEE will focus on regional capacity-building interventions benefiting all 19 countries, while BOAD will establish a line of credit through which eligible CFIs could access financing to support private solar companies operating in the region."", ANNEX 3: ECONOMIC AND FINANCIAL ANALYSIS: ""However, given the nascent nature of the solar market in West Africa, the project will benefit from technical assistance support."""
P160708,Western Africa - Regional Off-Grid Electrification Project,West Africa and the Sahel (19 Countries),"This regional project scales modern stand-alone solar systems and increases household and business electricity access by addressing policy and trade barriers, setting quality standards, building local entrepreneurship, and providing patient finance.","December 31, 2030",US$ 333.70 million,Active,"Elisa Portale , Raihan Elahi, Madina Tall", Western and Central Africa,Not Applicable,186ef31e-f26f-4320-a307-c5f95d6cb284,consultant social worker,"Consultant social workers deliver high quality social work services by contributing to the development and improvement of social work and social care practice. They contribute to policy development, deliver trainings and focus on research in the field of social work practices.",R,R HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,88.0,88 Social work activities without accommodation,4.0,4: Considerable Preparation Needed,llm,"""gender specialist""","""Provides gender and social development expertise as part of PIU staffing."", ""Provide expertise on gender and social development issues within the Project Implementation Unit.""","""gender analysis"", ""social inclusion planning"", ""community engagement"", ""gender-responsive monitoring"", ""gender analysis"", ""social inclusion strategies"", ""stakeholder outreach"", ""training design""","III. IMPLEMENTATION ARRANGEMENTS: ""In addition, the ECREEE PIU has been staffed with a procurement specialist, a gender specialist (with experience in social development issues), a geographic information system  (GIS)  specialist,  an  M&amp;E  specialist,  and  relevant  support  staff."", ANNEX 1: IMPLEMENTATION ARRANGEMENTS AND SUPPORT PLAN: ""The PIU has a gender specialist with experience in social development issues."""
P160708,Western Africa - Regional Off-Grid Electrification Project,West Africa and the Sahel (19 Countries),"This regional project scales modern stand-alone solar systems and increases household and business electricity access by addressing policy and trade barriers, setting quality standards, building local entrepreneurship, and providing patient finance.","December 31, 2030",US$ 333.70 million,Active,"Elisa Portale , Raihan Elahi, Madina Tall", Western and Central Africa,Not Applicable,1a46d0f0-93d7-44d1-bff9-58e3f21bd4c,social service consultant,,,,,,,,,"""social specialist""","""Be assigned to the project to address social development issues and support social risk mitigation and inclusion activities.""","""social risk assessment"", ""vulnerable group engagement"", ""grievance handling"", ""community outreach""","ANNEX 1: IMPLEMENTATION ARRANGEMENTS AND SUPPORT PLAN: ""One environmental specialist and one social specialist will be assigned to the project, either from the existing staff or through hiring additional staff."""
P160708,Western Africa - Regional Off-Grid Electrification Project,West Africa and the Sahel (19 Countries),"This regional project scales modern stand-alone solar systems and increases household and business electricity access by addressing policy and trade barriers, setting quality standards, building local entrepreneurship, and providing patient finance.","December 31, 2030",US$ 333.70 million,Active,"Elisa Portale , Raihan Elahi, Madina Tall", Western and Central Africa,Not Applicable,1ad59946-d13e-441e-9b36-56e1df055e21,financial auditor,"Financial auditors collect and examine financial data for clients, organisations and companies. They ensure the financial data is properly maintained and free of material misstatements due to error or fraud, that it adds up, and functions legally and effectively. They review lending and credit policies or numbers in databases and documents, evaluate, consult and assist the source of the transaction if necessary. They use their review of the client's financial governance as assurance to give testimony to the shareholders, stakeholders and board of directors of the organisation or company that all is up to par.",N,"N PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",69.0,69 Legal and accounting activities,4.0,4: Considerable Preparation Needed,minimum,"""auditor"", ""external auditor"", ""independent verification agent"", ""internal auditor"", ""verification agent""","""Conduct semiannual risk-based internal audits of the project and submit semiannual internal audit reports to the World Bank."", ""Be appointed and engage to perform the external audit for the project in accordance with terms of reference submitted to the World Bank within six months of effectiveness."", ""Conduct external audits and annual interim reviews of institutional internal controls for project implementing entities."", ""Conduct annual audits of project accounts and entity audits to confirm the use of project funds and support quarterly progress reporting."", ""Conduct semiannual internal audits of the project using a risk-based approach and prepare internal audit reports for submission."", ""Carry out the external audit of the project's funds in accordance with terms of reference and international auditing standards and submit audit reports."", ""Independently review claims made by commercial financial institutions to determine eligibility for the contingent recovery grant."", ""Review and verify claims submitted by commercial financial institutions to determine eligibility for contingent recovery grant payouts.""","""risk-based audit planning"", ""internal audit procedures"", ""audit report writing"", ""control testing"", ""knowledge of donor audit requirements"", ""external financial audit"", ""audit standards application"", ""financial statement verification"", ""field audit procedures"", ""preparation of audit terms of reference"", ""financial auditing"", ""internal control review"", ""audit reporting"", ""compliance with World Bank audit requirements"", ""risk assessment"", ""financial audit procedures"", ""accounting standards"", ""audit reporting"", ""risk assessment"", ""compliance verification"", ""risk-based audit methods"", ""financial controls testing"", ""internal audit reporting"", ""compliance assessment"", ""financial statement audit"", ""International Standards on Auditing"", ""audit reporting"", ""audit planning"", ""claims verification"", ""financial analysis"", ""documentation review"", ""independent assessment"", ""independent audit skills"", ""technical performance verification"", ""financial loss assessment"", ""reporting and documentation"", ""compliance review""","ANNEX 6: FINANCIAL INTERMEDIARY REVIEW OF BOAD: ""BOAD has an adequately staffed Internal Audit Unit that should effectively conduct the internal audits of the project. However, BOAD's Internal Audit Unit needs to include the project within its work plan to ensure that the audits are done semiannually using a risk-based approach."", ANNEX 6: FINANCIAL INTERMEDIARY REVIEW OF BOAD: ""The overall FM risk of the financing to be managed by BOAD is assessed as Moderate and the proposed  mitigation  measures  are  (a)  configuration  of  BOAD's  existing  accounting  software  to accommodate the accounts of the new financing and meet the line of credit business accountability requirements; (b) induction training of BOAD's FM staff and internal auditors on the World Bank's FM and disbursement guidelines and procedures; (c) incorporation of a specific annex to the POM related to the FM arrangements applicable to the line of credit to be managed by BOAD that are acceptable to the World Bank; (d) preparation and submission to the World Bank of the external audit TOR and the appointment of an external auditor within six months after effectiveness; and (e) preparation and submission to the World Bank of semiannual internal audit reports within 45 days after the end of each internal audit period."", IV. PROJECT APPRAISAL SUMMARY: ""In addition, the terms of reference (TOR) of the external audit of the project will include an annual interim review of the institutional internal controls applicable to the project. BOAD has appointed an external auditor. ECREEE will appoint an external auditor for the project within four months after effectiveness."", V. KEY RISKS: ""Furthermore, the project will submit quarterly progress reports and annual audit of its project accounts and entity audits confirming the use of project funds."", ANNEX 1: IMPLEMENTATION ARRANGEMENTS AND SUPPORT PLAN: ""BOAD has an adequately staffed Internal Audit Unit that should effectively conduct the internal audits of the project. However, BOAD's Internal Audit Unit needs to include the project within its work plan  to  ensure  that  the  audits  are  done  semiannually  using  a  risk-based  approach. These  semiannual internal  audit  reports  need  to  be  submitted  to  the World  Bank  within  45  days  after  the  end  of  the semiannual  period.  Internal  auditors  will  also  be  provided  training  on  the  World  Bank's  FM  and disbursement guidelines."", ANNEX 1: IMPLEMENTATION ARRANGEMENTS AND SUPPORT PLAN: ""For all implementing entities. The external audit of the project's funds will be done by a private audit firm acceptable to the World Bank based on TOR cleared by the World Bank. For ECREEE, the TOR of  the  external  audit  of  the  project  will  include  an  annual  interim  review  of  the institutional  internal controls  applicable  to  the  project.  The  audit  will  be  carried  out  in  accordance  with  the  International Standards on Auditing. The audit report together with the Management Letter will be submitted to the World Bank within six months after the end of the financial year."", ANNEX 1: IMPLEMENTATION ARRANGEMENTS AND SUPPORT PLAN: ""For Sub-component 2B, an independent third-party  verification  agent  will  review  the  claims  made  by  the  CFIs  to  benefit  from  the  contingent recovery grant."", ANNEX 2: DETAILED PROJECT DESCRIPTION: ""The POM will specify that an independent third-party verification agent will review the claims made by the CFIs to benefit from the contingent recovery grant."""
P160708,Western Africa - Regional Off-Grid Electrification Project,West Africa and the Sahel (19 Countries),"This regional project scales modern stand-alone solar systems and increases household and business electricity access by addressing policy and trade barriers, setting quality standards, building local entrepreneurship, and providing patient finance.","December 31, 2030",US$ 333.70 million,Active,"Elisa Portale , Raihan Elahi, Madina Tall", Western and Central Africa,Not Applicable,1b38a27d-ef98-4d9f-b1b2-8c109bf47e79,event manager,"Event managers plan and oversee events such as festivals, conferences, ceremonies, cultural events, exhibitions, formal parties, concerts, or conventions. They organise every stage of the events planning the venues, staff, suppliers, media, insurances all within the allocated budgetary and time limits. Event managers ensure the legal obligations are followed and the expectations of the target audience are met. They work together with the marketing team in promoting the event, searching new clients and gathering constructive feedback after the events took place.",O,O ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,82.0,"82 Office administrative, office support and other business support activities",4.0,4: Considerable Preparation Needed,unique,"""workshop facilitator""","""Organize and facilitate project launch workshops in each project country to ensure stakeholder participation.""","""workshop facilitation"", ""stakeholder engagement"", ""event organization"", ""public presentation""","II. PROJECT DESCRIPTION: ""ECREEE will undertake project launch workshops in all 19 countries soon after the project is effective to ensure participation of national, regional, and international stakeholders in each project country."""
